,warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label,method_content
10,9711,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.filters,org.apache.tools.ant.filters.StripJavaCommentsTest,,tearDown,,},,43,43,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/filters/StripJavaCommentsTest.java#L43,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/filters/StripJavaCommentsTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
11,9729,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.ZipTest,,tearDown,,},,69,69,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/ZipTest.java#L69,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/ZipTest.java,,unknown,"public void tearDown() {
        try {
            if ( zfPrefixAddsDir != null) {
                zfPrefixAddsDir.close();
            }

        } catch (IOException e) {
            //ignored
        }
        executeTarget(""cleanup"");
    }"
12,9730,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant,org.apache.tools.ant.LoaderRefTest,,tearDown,,},,37,37,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/LoaderRefTest.java#L37,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/LoaderRefTest.java,,unknown,"public void tearDown() {
        executeTarget(""clean"");
    }"
13,9736,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional.junit,org.apache.tools.ant.taskdefs.optional.junit.JUnitReportTest,,tearDown,,},,45,45,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitReportTest.java#L45,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitReportTest.java,,unknown,"protected void tearDown() {
        executeTarget(""clean"");
    }"
14,9746,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.GUnzipTest,,tearDown,,},,40,40,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/GUnzipTest.java#L40,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/GUnzipTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
15,9749,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.AntStructureTest,,tearDown,,},,41,41,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/AntStructureTest.java#L41,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/AntStructureTest.java,,unknown,"public void tearDown() {
        executeTarget(""tearDown"");
    }"
16,9754,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.PropertyFileTest,,tearDown,,},,59,59,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/PropertyFileTest.java#L59,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/PropertyFileTest.java,,unknown,"public void tearDown() {
        destroyTempFiles();
    }"
17,9757,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.CopyTest,,tearDown,,},,54,54,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/CopyTest.java#L54,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/CopyTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
18,9767,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.filters,org.apache.tools.ant.filters.ReplaceTokensTest,,tearDown,,},,43,43,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/filters/ReplaceTokensTest.java#L43,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/filters/ReplaceTokensTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
19,9768,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.types,org.apache.tools.ant.types.MapperTest$TaskdefForCopyTest,,tearDown,,},,240,240,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/types/MapperTest.java#L240,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/types/MapperTest.java,,unknown,"public void tearDown() {
            executeTarget(""cleanup"");
        }"
20,9771,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.MultiMapTest,,tearDown,,},,39,39,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/MultiMapTest.java#L39,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/MultiMapTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
21,9772,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.XmlValidateCatalogTest,,tearDown,,},,59,59,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/XmlValidateCatalogTest.java#L59,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/XmlValidateCatalogTest.java,,unknown,"public void tearDown() {

    }"
22,9774,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional.i18n,org.apache.tools.ant.taskdefs.optional.i18n.TranslateTest,,tearDown,,},,48,48,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/i18n/TranslateTest.java#L48,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/i18n/TranslateTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
23,9779,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.CVSPassTest,,tearDown,,},,67,67,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/CVSPassTest.java#L67,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/CVSPassTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
24,9780,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.StyleTest,,tearDown,,},,50,50,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/StyleTest.java#L50,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/StyleTest.java,,unknown,"protected void tearDown() throws Exception {
        executeTarget(""teardown"");
    }"
25,9781,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.JspcTest,,tearDown,,},,76,76,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/JspcTest.java#L76,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/JspcTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
26,9785,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.ExecTaskTest,,tearDown,,},,60,60,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java#L60,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java,,unknown,"public void tearDown() {
        if (logFile != null && logFile.exists()) {
            getProject().setProperty(""logFile"", logFile.getAbsolutePath());
        }
        executeTarget(""cleanup"");
    }"
27,9786,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.FixCrLfTest,,tearDown,,},,45,45,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/FixCrLfTest.java#L45,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/FixCrLfTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
28,9790,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.EchoXMLTest,,tearDown,,},,35,35,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/EchoXMLTest.java#L35,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/EchoXMLTest.java,,unknown,"public void tearDown() {
        executeTarget(""tearDown"");
    }"
29,9792,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.types.resources,org.apache.tools.ant.types.resources.TarResourceTest,,tearDown,,},,37,37,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/types/resources/TarResourceTest.java#L37,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/types/resources/TarResourceTest.java,,unknown,"protected void tearDown() throws Exception {
        executeTarget(""tearDown"");
    }"
30,9804,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.filters,org.apache.tools.ant.filters.TokenFilterTest,,tearDown,,},,45,45,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/filters/TokenFilterTest.java#L45,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/filters/TokenFilterTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
31,9805,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.DeleteTest,,tearDown,,},,37,37,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/DeleteTest.java#L37,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/DeleteTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
32,9809,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.types,org.apache.tools.ant.types.DescriptionTest,,tearDown,,},,37,37,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/types/DescriptionTest.java#L37,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/types/DescriptionTest.java,,unknown,"public void tearDown() {
    }"
33,9811,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.XsltTest,,tearDown,,},,58,58,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/XsltTest.java#L58,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/XsltTest.java,,unknown,"public void tearDown() {
        executeTarget(""teardown"");
    }"
34,9812,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.ReplaceRegExpTest,,tearDown,,},,46,46,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/ReplaceRegExpTest.java#L46,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/ReplaceRegExpTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
35,9813,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.DefaultExcludesTest,,tearDown,,},,38,38,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/DefaultExcludesTest.java#L38,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/DefaultExcludesTest.java,,unknown,"public void tearDown() {
        project.executeTarget(""cleanup"");
    }"
36,9816,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.BUnzip2Test,,tearDown,,},,43,43,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/BUnzip2Test.java#L43,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/BUnzip2Test.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
37,9817,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.UntarTest,,tearDown,,},,40,40,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/UntarTest.java#L40,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/UntarTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
38,9820,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.BZip2Test,,tearDown,,},,45,45,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/BZip2Test.java#L45,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/BZip2Test.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
39,9821,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.CopyfileTest,,tearDown,,},,41,41,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/CopyfileTest.java#L41,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/CopyfileTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
40,9822,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.RmicAdvancedTest,,tearDown,,},,52,52,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/RmicAdvancedTest.java#L52,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/RmicAdvancedTest.java,,unknown,"public void tearDown() {
        executeTarget(""teardown"");
    }"
41,9823,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.filters,org.apache.tools.ant.filters.LineContainsTest,,tearDown,,},,43,43,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/filters/LineContainsTest.java#L43,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/filters/LineContainsTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
42,9827,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional.junit,org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskTest,,tearDown,,},,58,58,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskTest.java#L58,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
43,9829,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.InitializeClassTest,,tearDown,,},,63,63,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/InitializeClassTest.java#L63,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/InitializeClassTest.java,,unknown,"public void tearDown() {
        f1.delete();
        f2.delete();
    }"
44,9830,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.ConcatTest,,tearDown,,},,71,71,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/ConcatTest.java#L71,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/ConcatTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
45,9831,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.filters,org.apache.tools.ant.filters.EscapeUnicodeTest,,tearDown,,},,43,43,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/filters/EscapeUnicodeTest.java#L43,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/filters/EscapeUnicodeTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
